airport_name,country,iata,status
Gull Bay Landing Airport,US,N/A,Ghost Airport
Steel Systems Heliport,US,N/A,Ghost Airport
R J D Heliport,US,N/A,Ghost Airport
Ferrell Field,US,N/A,Ghost Airport
McKenzie Bridge State Airport,US,N/A,Ghost Airport
Flying O Airport,US,N/A,Ghost Airport
Homan Field,US,N/A,Ghost Airport
Tcjc-Northeast Campus Heliport,US,N/A,Ghost Airport
Alpine Range Airport,US,N/A,Ghost Airport
Nowhere Airport,US,N/A,Ghost Airport
Vaughan Airport,US,N/A,Ghost Airport
Groundhog Mountain Airport,US,N/A,Ghost Airport
Lower Granite State Airport,US,N/A,Ghost Airport
Howell Airport,US,N/A,Ghost Airport
Northern Lite Airport,US,N/A,Ghost Airport
Hawks Run Airport,US,N/A,Ghost Airport
Lazy J. Aerodrome,US,N/A,Ghost Airport
Mountain View Regional Hospital Heliport,US,N/A,Ghost Airport
Weeski Ranch Airport,US,N/A,Ghost Airport
Purkeypile Airport,US,N/A,Ghost Airport
Providence Seward Medical Center Heliport,US,N/A,Ghost Airport
Ware Island Airport,US,N/A,Ghost Airport
McHone Heights Airport,US,N/A,Ghost Airport
DeQueen Medical Center Heliport,US,N/A,Ghost Airport
Yat Heliport,US,N/A,Ghost Airport
SCE Lugo Substation Heliport,US,N/A,Ghost Airport
Swansboro Country Airport,US,N/A,Ghost Airport
St Vincent General Hospital Heliport,US,N/A,Ghost Airport
Berlin Fairgrounds Heliport,US,N/A,Ghost Airport
Rybolt Ranch Airport,US,N/A,Ghost Airport
Advent Health Altamonte Springs Heliport,US,N/A,Ghost Airport
Cedar Knoll Flying Ranch Airport,US,N/A,Ghost Airport
Medical Center Heliport,US,N/A,Ghost Airport
The Farm Airport,US,N/A,Ghost Airport
Lava Hot Springs Airport,US,N/A,Ghost Airport
Myers Field,US,N/A,Ghost Airport
Hoopeston Community Memorial Hospital Heliport,US,N/A,Ghost Airport
Community Hospital Heliport,US,N/A,Ghost Airport
William E. Koenig Airport,US,N/A,Ghost Airport
Hilliard Airpark,US,N/A,Ghost Airport
Caldwell Municipal Airport,US,N/A,Ghost Airport
Flying N Ranch Airport,US,N/A,Ghost Airport
Lourdes Hospital Heliport,US,N/A,Ghost Airport
Barham Airport,US,N/A,Ghost Airport
Schumaier Restricted Landing Area,US,N/A,Ghost Airport
Country Breeze Airport,US,N/A,Ghost Airport
Compaq Andover Heliport,US,N/A,Ghost Airport
Annapolis Seaplane Base,US,N/A,Ghost Airport
Saint Peter's Seaplane Base,US,N/A,Ghost Airport
Flow Through Terminal Heliport,US,N/A,Ghost Airport
Barnes Seaplane Base,US,N/A,Ghost Airport
Highway Patrol Troop C Headquarters Heliport,US,N/A,Ghost Airport
Crystal Lakes Resort Airport,US,N/A,Ghost Airport
NWMC - Houghton Heliport,US,N/A,Ghost Airport
Topsail Airpark,US,N/A,Ghost Airport
Moore Airfield,US,N/A,Ghost Airport
Albert Guido Memorial Heliport,US,N/A,Ghost Airport
Champion Ranch Airport,US,N/A,Ghost Airport
