airport_name,country,iata,status
Lift Crane Heliport,US,N/A,Ghost Airport
Pearce Industries Heliport,US,N/A,Ghost Airport
Thompsonville Airport,US,N/A,Ghost Airport
Backus Municipal Airport,US,N/A,Ghost Airport
Big Falls Municipal Airport,US,N/A,Ghost Airport
Morvro Lake Seaplane Base,US,N/A,Ghost Airport
Sunflower Ranch Airport,US,N/A,Ghost Airport
Price Field,US,N/A,Ghost Airport
Lone Hickory Airport,US,N/A,Ghost Airport
Bacchi Valley Industries Airport,US,N/A,Ghost Airport
Blythe Service Center Heliport,US,N/A,Ghost Airport
US Border Patrol Campo Heliport,US,N/A,Ghost Airport
Simonson Field,US,N/A,Ghost Airport
Lake Marian Seaplane Base,US,N/A,Ghost Airport
Brady Ranch Airport,US,N/A,Ghost Airport
Northwest Florida Community Hospital Heliport,US,N/A,Ghost Airport
Tri-City Airport,US,N/A,Ghost Airport
Murphy's Landing Airport,US,N/A,Ghost Airport
WRDW TV Heliport,US,N/A,Ghost Airport
St Luke's Magic Valley Heliport,US,N/A,Ghost Airport
Gustin's /Private/ Airport,US,N/A,Ghost Airport
Gilley's Airport,US,N/A,Ghost Airport
David Lowe Airport,US,N/A,Ghost Airport
Los Angeles County Fire Station 123 Heliport,US,N/A,Ghost Airport
Tew Mac Heliport,US,N/A,Ghost Airport
Fox Hollow Heliport,US,N/A,Ghost Airport
North Shore Health Heliport,US,N/A,Ghost Airport
Seiferd Field,US,N/A,Ghost Airport
Troy Field,US,N/A,Ghost Airport
R & R Farms Airport,US,N/A,Ghost Airport
Middletown Township Police Heliport,US,N/A,Ghost Airport
Wakemed North Hospital Heliport,US,N/A,Ghost Airport
Griffin-Sloas Airport,US,N/A,Ghost Airport
Cleveland Clinic South Pointe Heliport,US,N/A,Ghost Airport
Wilderness Airport,US,N/A,Ghost Airport
Pamco Pa Heliport,US,N/A,Ghost Airport
Hanny Beaver Airpark Inc Airport,US,N/A,Ghost Airport
Lavina Airport,US,N/A,Ghost Airport
Comstock Field,US,N/A,Ghost Airport
Porta-Kamp 12th Street Heliport,US,N/A,Ghost Airport
Opela Heliport,US,N/A,Ghost Airport
Big T Airport,US,N/A,Ghost Airport
M Y Ranch Airport,US,N/A,Ghost Airport
Medicine Bow Airport,US,N/A,Ghost Airport
Holly Springs Airport,US,N/A,Ghost Airport
Spring Creek Airport,US,N/A,Ghost Airport
Knight Trow Ranch Airport,US,N/A,Ghost Airport
Three Acres Airport,US,N/A,Ghost Airport
McKinley Country Airport,US,N/A,Ghost Airport
Bibb Medical Center Heliport,US,N/A,Ghost Airport
Hangar 5 Heliport,US,N/A,Ghost Airport
Sandhill Heliport,US,N/A,Ghost Airport
Mesa 1 Airport,US,N/A,Ghost Airport
Flyin Tiger Airport,US,N/A,Ghost Airport
Johnson Ranch Heliport,US,N/A,Ghost Airport
Lucky Lairds Landing Airport,US,N/A,Ghost Airport
Methodist Hospital of In. Inc. Heliport,US,N/A,Ghost Airport
Illinois Valley Parachute Club Airport,US,N/A,Ghost Airport
Bass Lake Seaplane Base,US,N/A,Ghost Airport
Blackhawk Airport,US,N/A,Ghost Airport
Sheriff's Wayside Heliport,US,N/A,Ghost Airport
Otterbach Farm Airport,US,N/A,Ghost Airport
Richardson Medical Center Heliport,US,N/A,Ghost Airport
French Field,US,N/A,Ghost Airport
Three Rivers Health Heliport,US,N/A,Ghost Airport
Ewen Landing Field,US,N/A,Ghost Airport
Bates County Hospital Heliport,US,N/A,Ghost Airport
Mercy Hospital Springfield Heliport,US,N/A,Ghost Airport
Cox Field,US,N/A,Ghost Airport
Millers Airstrip,US,N/A,Ghost Airport
Bunger Field,US,N/A,Ghost Airport
Hall's No 1 Heliport,US,N/A,Ghost Airport
Diamond A Ranch Airport,US,N/A,Ghost Airport
Brown Heliport,US,N/A,Ghost Airport
Twin Lakes Ranch Airport,US,N/A,Ghost Airport
Wagontire Airport,US,N/A,Ghost Airport
Derf Haus Heliport,US,N/A,Ghost Airport
Armstrong County Memorial Hospital Heliport,US,N/A,Ghost Airport
Masterson Heliport,US,N/A,Ghost Airport
Southfork Airport,US,N/A,Ghost Airport
Ferguson Airport,US,N/A,Ghost Airport
Jobe Skis Plant 1 Heliport,US,N/A,Ghost Airport
Buttermilk Air Strip,US,N/A,Ghost Airport
Post Oak Central Heliport,US,N/A,Ghost Airport
SCE Moorpark Substation Heliport,US,N/A,Ghost Airport
Creech Heliport,US,N/A,Ghost Airport
Fort Bragg Airport,US,FOB,Ghost Airport
Mountain Bell Heliport,US,N/A,Ghost Airport
Airrep Heliport,US,N/A,Ghost Airport
Paces South Farms Airport,US,N/A,Ghost Airport
Mercyhealth System-Riverside Heliport,US,N/A,Ghost Airport
Hunter Airport,US,N/A,Ghost Airport
Landings Condominium Airport,US,N/A,Ghost Airport
Greg Post Farms Airport,US,N/A,Ghost Airport
Woodledge Farm Airport,US,N/A,Ghost Airport
Fisher's Field,US,N/A,Ghost Airport
Lookout Point Airport,US,N/A,Ghost Airport
Lake City Medical Center Heliport,US,N/A,Ghost Airport
Cameron Community Hospital Heliport,US,N/A,Ghost Airport
Ktts Heliport,US,N/A,Ghost Airport
Pineview Air Airport,US,N/A,Ghost Airport
DRC Airport,US,N/A,Ghost Airport
Summit Meadow Heliport,US,N/A,Ghost Airport
Skeen Ranch Airport,US,N/A,Ghost Airport
Big Sandy Landing,US,N/A,Ghost Airport
Silvernails Field,US,N/A,Ghost Airport
J-Em Farm Airport,US,N/A,Ghost Airport
Ascension Saint John Sapulpa Heliport,US,N/A,Ghost Airport
Lost Creek Airport,US,N/A,Ghost Airport
Frame Field,US,N/A,Ghost Airport
Gellhorn Pad Heliport,US,N/A,Ghost Airport
Elmdale Airpark,US,N/A,Ghost Airport
St Joseph Hospital Heliport,US,N/A,Ghost Airport
Root Field,US,N/A,Ghost Airport
Kittitas Valley Healthcare Heliport,US,N/A,Ghost Airport
Triple S Ranch Airport,US,N/A,Ghost Airport
Magee Creek Aerodrome,US,N/A,Ghost Airport
Circle P Ranch Airport,US,N/A,Ghost Airport
Tolovana Hot Springs Airport,US,N/A,Ghost Airport
Presque Isle Seaplane Base,US,N/A,Ghost Airport
The Met Heliport,US,N/A,Ghost Airport
Snake River Health Services Inc Heliport,US,N/A,Ghost Airport
Lake Montaza Airport,US,N/A,Ghost Airport
Nassau Airport,US,N/A,Ghost Airport
Brock Airpark,US,N/A,Ghost Airport
Keokuk County Health Center Heliport,US,N/A,Ghost Airport
Oltman-Shuck Airport,US,N/A,Ghost Airport
Goodenough Airport,US,N/A,Ghost Airport
Prairie Airport,US,N/A,Ghost Airport
Works Heliport,US,N/A,Ghost Airport
Southeast Superior Court Heliport,US,N/A,Ghost Airport
Lindauer Airport,US,N/A,Ghost Airport
St. Joseph Mercy Oakland-Bassett Street Helipad,US,N/A,Ghost Airport
Ponderosa Seaplane Base,US,N/A,Ghost Airport
North Kansas City Hospital Heliport,US,N/A,Ghost Airport
Leos Landing Seaplane Base,US,N/A,Ghost Airport
Holly Green Heliport,US,N/A,Ghost Airport
Pier 19 Seaplane Base,US,N/A,Ghost Airport
Mac Millan Restricted Helistop,US,N/A,Ghost Airport
King Ranch Airport,US,N/A,Ghost Airport
Wootens Airport,US,N/A,Ghost Airport
Norcross Helipad Heliport,US,N/A,Ghost Airport
Hufford Field,US,N/A,Ghost Airport
Adams Strip,US,N/A,Ghost Airport
M P W Heliport,US,N/A,Ghost Airport
Sweetbriar Airport,US,N/A,Ghost Airport
Tamarack Springs Ranch Airport,US,N/A,Ghost Airport
Mmc Heliport,US,N/A,Ghost Airport
Wpxi-Tv Television Hill Heliport,US,N/A,Ghost Airport
Port of Poulsbo Marina Moorage Seaplane Base,US,PUL,Ghost Airport
Rainbow Field,US,N/A,Ghost Airport
K Bar Ranch Airport,US,N/A,Ghost Airport
Moore Ranch Airport,US,N/A,Ghost Airport
Texas A And M Flight Test Station Airport,US,N/A,Ghost Airport
Upton Municipal Airport,US,N/A,Ghost Airport
Medical Heliport,US,N/A,Ghost Airport
Darcy's Air Strip,US,N/A,Ghost Airport
Jones Airport,US,N/A,Ghost Airport
TR Zato Airport,US,N/A,Ghost Airport
Ball Park Heliport,US,N/A,Ghost Airport
T-Time Heliport,US,N/A,Ghost Airport
Blessings Landing Air Ranch,US,N/A,Ghost Airport
Valhalla Airport,US,N/A,Ghost Airport
Beverly Center Heliport,US,N/A,Ghost Airport
Century City Heliport,US,CCD,Ghost Airport
Rampart Heliport,US,N/A,Ghost Airport
Summer Spot Heliport,US,N/A,Ghost Airport
North Port Ems Heliport,US,N/A,Ghost Airport
Capeletti Heliport,US,N/A,Ghost Airport
Cobo Hall Heliport,US,N/A,Ghost Airport
Screven Ems Heliport,US,N/A,Ghost Airport
Shetler's Heliport,US,N/A,Ghost Airport
Kosciusko Community Hospital Heliport,US,N/A,Ghost Airport
Passavant Area Hospital Heliport,US,N/A,Ghost Airport
Meyers Chuck Seaplane Base,US,WMK,Ghost Airport
Norwalk Sheriff Station Heliport,US,N/A,Ghost Airport
Touchstone Ridge Ultralightport,US,N/A,Ghost Airport
Cowboys Air Ranch Airport,US,N/A,Ghost Airport
Nielsville Airport,US,N/A,Ghost Airport
Holiday Inn Westport Heliport,US,N/A,Ghost Airport
Rooster Field,US,N/A,Ghost Airport
Kyllo Airport,US,N/A,Ghost Airport
Edison Square Heliport,US,N/A,Ghost Airport
St. Luke's Cornwall Hospital Heliport,US,N/A,Ghost Airport
Nalda Ranch Airport,US,N/A,Ghost Airport
Dupree Willow Heliport,US,N/A,Ghost Airport
Skyview Airport,US,N/A,Ghost Airport
Grant Lifeflight 2 Heliport,US,N/A,Ghost Airport
Cotton Field,US,N/A,Ghost Airport
B Bar Ranch Airport,US,N/A,Ghost Airport
Ged Heliport,US,N/A,Ghost Airport
Draco STOLport,US,N/A,Ghost Airport
MUSC - Blackwater Heliport,US,N/A,Ghost Airport
W4 Ranch Airport,US,N/A,Ghost Airport
Elkins Field,US,N/A,Ghost Airport
Tourist Ride Services Heliport,US,N/A,Ghost Airport
Cia Headquarters Heliport,US,N/A,Ghost Airport
D and B Airpark,US,N/A,Ghost Airport
Lutheran Hospital - La Crosse Heliport,US,N/A,Ghost Airport
Moore Ranch Airport,US,N/A,Ghost Airport
Lang Ranch Airport,US,N/A,Ghost Airport
Bloomfield Municipal Airport,US,N/A,Ghost Airport
Marion Seaplane Base,US,N/A,Ghost Airport
Shin Pond Seaplane Base,US,N/A,Ghost Airport
Redwood Coast Medical Services Heliport,US,N/A,Ghost Airport
Anderson Heliport,US,N/A,Ghost Airport
North Exuma Airport,US,N/A,Ghost Airport
AdventHealth Kissimmee Heliport,US,N/A,Ghost Airport
Thomas Farms Airport,US,N/A,Ghost Airport
Aiken Field,US,N/A,Ghost Airport
Henry Airport,US,N/A,Ghost Airport
Durbin Airport,US,N/A,Ghost Airport
Leak Airport,US,N/A,Ghost Airport
Sanders Airport,US,N/A,Ghost Airport
Deer Run Airpark,US,N/A,Ghost Airport
Wormley Airport,US,N/A,Ghost Airport
Lahey Hospital Heliport,US,N/A,Ghost Airport
Dewind Field,US,N/A,Ghost Airport
Christison Airport,US,N/A,Ghost Airport
Hollands International Field,US,N/A,Ghost Airport
Reagans Roost Ultralightport,US,N/A,Ghost Airport
Meyers Freedom Flight Hardy Airport,US,N/A,Ghost Airport
Webcraft Heliport,US,N/A,Ghost Airport
Playas Medical Building Heliport,US,N/A,Ghost Airport
Forsyth Medical Center Helipad,US,N/A,Ghost Airport
High Acres Airport,US,N/A,Ghost Airport
Akron Children's Hospital Heliport,US,N/A,Ghost Airport
Red Stevenson Property Heliport,US,N/A,Ghost Airport
Allen's Airstrip,US,N/A,Ghost Airport
Kiski Airport,US,N/A,Ghost Airport
Old Kingsbury Aerodrome,US,N/A,Ghost Airport
Rutherford Ranch Airport,US,N/A,Ghost Airport
Soldier Bar US Forest Service Airport,US,N/A,Ghost Airport
Ganado Airport,US,N/A,Ghost Airport
Land's End Seaplane Base,US,N/A,Ghost Airport
Cub Bear Airport,US,N/A,Ghost Airport
Hoppe'S Seaplane Base,US,N/A,Ghost Airport
Eagle Aviation Heliport,US,N/A,Ghost Airport
Ernst Field,US,N/A,Ghost Airport
Dignity Health Hospital Mercy Medical Center Heliport,US,N/A,Ghost Airport
Lazy W Airport,US,N/A,Ghost Airport
Country Landings Airport,US,N/A,Ghost Airport
Lake Shore Hospital Heliport,US,N/A,Ghost Airport
Flying G Ranch Airport,US,N/A,Ghost Airport
Washington County Hospital Heliport,US,N/A,Ghost Airport
Michael Pfister Airport,US,N/A,Ghost Airport
Spring Airport,US,N/A,Ghost Airport
Cathance Landing Seaplane Base,US,N/A,Ghost Airport
Downwind Acres Airport,US,N/A,Ghost Airport
Bothwell Regional Health Center Heliport,US,N/A,Ghost Airport
Craig Craft Airport,US,N/A,Ghost Airport
Orum Aerodrome,US,N/A,Ghost Airport
Hercules Inc. Heliport,US,N/A,Ghost Airport
East Farm Heliport,US,N/A,Ghost Airport
Westfield Airport,US,N/A,Ghost Airport
Belcan Heliport,US,N/A,Ghost Airport
St Francis Hospital Vinita Heliport,US,N/A,Ghost Airport
Amber Glen Business Center Hp Heliport,US,N/A,Ghost Airport
7D Farms Heliport,US,N/A,Ghost Airport
Seesholtz Airport,US,N/A,Ghost Airport
Matthews Ranch Airport,US,N/A,Ghost Airport
Dumplin Field,US,N/A,Ghost Airport
Fairway Farm Airport,US,N/A,Ghost Airport
Flying J Airport,US,N/A,Ghost Airport
Newport News General Hospital Heliport,US,N/A,Ghost Airport
Kapowsin Field,US,N/A,Ghost Airport
Gesin Ranches Airport,US,N/A,Ghost Airport
Soloy Strip,US,N/A,Ghost Airport
Portage Lake Municipal Seaplane Base,US,N/A,Ghost Airport
The Flying Z Airport,US,N/A,Ghost Airport
City National Plaza Heliport,US,N/A,Ghost Airport
Honda of Santa Ana Heliport,US,N/A,Ghost Airport
Young's Strip,US,N/A,Ghost Airport
Palm Beach Gardens Medical Center Heliport,US,N/A,Ghost Airport
King Heliport,US,N/A,Ghost Airport
Tanner Medical Center/Villa Rica Heliport,US,N/A,Ghost Airport
Bushby RLA Restricted Landing Area,US,N/A,Ghost Airport
May's Strip,US,N/A,Ghost Airport
Midwest Communication Heliport,US,N/A,Ghost Airport
Miara1 Helipad,US,N/A,Ghost Airport
High Note Heliport,US,N/A,Ghost Airport
Ascension Borgess Pipp Hospital Heliport,US,N/A,Ghost Airport
Erickson Airport,US,N/A,Ghost Airport
Richters Airport,US,N/A,Ghost Airport
Southampton Heliport,US,N/A,Ghost Airport
C A G Farms Airport,US,N/A,Ghost Airport
Knox Landing Airport,US,N/A,Ghost Airport
Shore Medical Center Heliport,US,N/A,Ghost Airport
Columbia Airstrip,US,N/A,Ghost Airport
Clearview Heliport,US,N/A,Ghost Airport
Lake Air Ranch Airport,US,N/A,Ghost Airport
Wagoner Community Hospital Heliport,US,N/A,Ghost Airport
Moondance Ranch Airport,US,N/A,Ghost Airport
Waltman Airport,US,N/A,Ghost Airport
Cielo Grande Ranch Airport,US,N/A,Ghost Airport
Rose Field Airport,US,N/A,Ghost Airport
Star Houston Heliport,US,N/A,Ghost Airport
Cottonwood Farm Airport,US,N/A,Ghost Airport
Trios Women & Childrens Hospital Heliport,US,N/A,Ghost Airport
Quale Airport,US,N/A,Ghost Airport
Valhalla Airport,US,N/A,Ghost Airport
Methodist Midlothian Medical Center Heliport,US,N/A,Ghost Airport
Cinco B Ranch Airport,US,N/A,Ghost Airport
Dutch Landing Strip,US,N/A,Ghost Airport
W&T Offshore Yellowhammer Heliport,US,N/A,Ghost Airport
Grapevine Airstrip,US,N/A,Ghost Airport
Palmyra Municipal Airport,US,N/A,Ghost Airport
Regional Medical Center San Jose H2 Heliport,US,N/A,Ghost Airport
Park Place Heliport,US,N/A,Ghost Airport
Tranquila Airport,US,N/A,Ghost Airport
Hinde Airport,US,N/A,Ghost Airport
Tampa Hard Rock Helipad,US,N/A,Ghost Airport
Baptist Health Bethesda Hospital East Heliport,US,N/A,Ghost Airport
Sailfish Point Heliport,US,N/A,Ghost Airport
Gradolph Field,US,N/A,Ghost Airport
Blickhan Lndg Area Airport,US,N/A,Ghost Airport
Saint Joseph Hospital Heliport,US,N/A,Ghost Airport
Freebird Field,US,N/A,Ghost Airport
Block Airport,US,N/A,Ghost Airport
Beaven Field,US,N/A,Ghost Airport
Deer Hill Heliport,US,N/A,Ghost Airport
Fox Field,US,N/A,Ghost Airport
Howell Valley Airport,US,N/A,Ghost Airport
Strayhorn Hay Field Airport,US,N/A,Ghost Airport
Corriher Field,US,N/A,Ghost Airport
Goodman Strip,US,N/A,Ghost Airport
Ensor Field,US,N/A,Ghost Airport
Black Rock City Airport,US,N/A,Ghost Airport
Zelazny Airport,US,N/A,Ghost Airport
Chippewa Field,US,N/A,Ghost Airport
Akron City Hospital Heliport,US,N/A,Ghost Airport
Tallman Airport,US,N/A,Ghost Airport
Mc Coy Airport,US,N/A,Ghost Airport
Coal Township Heliport,US,N/A,Ghost Airport
Indian Springs Airport,US,N/A,Ghost Airport
Figure 2 Ranch Airport,US,N/A,Ghost Airport
Piney Creek Airport,US,N/A,Ghost Airport
Fort Wolters Helicopters Heliport,US,N/A,Ghost Airport
Shady Lane Ranch Airport,US,N/A,Ghost Airport
Christus Mother Frances Hospital Sulphur Springs Heliport,US,N/A,Ghost Airport
Belmont Farm Airport,US,N/A,Ghost Airport
Hawk's Nest Airport,US,N/A,Ghost Airport
Nicolet Airport,US,N/A,Ghost Airport
Ottos Airport,US,N/A,Ghost Airport
Tejas Stone Ranch Airport,US,N/A,Ghost Airport
Lincoln Village Airpark,US,N/A,Ghost Airport
Tranquility Pad Heliport,US,N/A,Ghost Airport
Lake Hiawassee Seaplane Base,US,N/A,Ghost Airport
South Fulton Airport,US,N/A,Ghost Airport
Chain Lakes Airpark,US,N/A,Ghost Airport
Milhon Airport,US,N/A,Ghost Airport
Voges Airstrip,US,N/A,Ghost Airport
Neosho Memorial Regional Hospital Heliport,US,N/A,Ghost Airport
Clark Regional Medical Center Heliport,US,N/A,Ghost Airport
Acadiana One Office Bldg Heliport,US,N/A,Ghost Airport
Norman Airport,US,N/A,Ghost Airport
Fox Field,US,N/A,Ghost Airport
Peach Lake Heliport,US,N/A,Ghost Airport
Bishop's Landing Airport,US,N/A,Ghost Airport
Cox Health Monett Replacement Hospital Heliport,US,N/A,Ghost Airport
Strickland Field,US,N/A,Ghost Airport
Poleschook Airport,US,N/A,Ghost Airport
Strawberry Fields Airport,US,N/A,Ghost Airport
Georgia Road Field,US,N/A,Ghost Airport
Maxson Airfield,US,AXB,Ghost Airport
Blanchard Valey Regional Health Center Heliport,US,N/A,Ghost Airport
Circle C Airport,US,N/A,Ghost Airport
Neversweat Too Airport,US,N/A,Ghost Airport
Mucky Flat Airport,US,N/A,Ghost Airport
Kirschstein Heliport,US,N/A,Ghost Airport
Cromwell Racecourse Aerodrome,NZ,N/A,Ghost Airport
Coromandel Aerodrome,NZ,CMV,Ghost Airport
Dargaville Aerodrome,NZ,DGR,Ghost Airport
Dunedin City Heliport,NZ,N/A,Ghost Airport
Dunedin Hospital Helipad,NZ,N/A,Ghost Airport
Dunstan Hospital Heliport,NZ,N/A,Ghost Airport
Dannevirke Aerodrome,NZ,N/A,Ghost Airport
Drury Airfield,NZ,N/A,Ghost Airport
Wharepapa South Airport,NZ,N/A,Ghost Airport
Eves Valley Heliport,NZ,N/A,Ghost Airport
Forest Field Aerodrome,NZ,N/A,Ghost Airport
Fern Gully Heliport,NZ,N/A,Ghost Airport
Fox Heliport,NZ,N/A,Ghost Airport
Feilding Airport,NZ,N/A,Ghost Airport
Franz Josef Aerodrome,NZ,WHO,Ghost Airport
Foxpine Aerodrome,NZ,N/A,Ghost Airport
Franz Josef Heliport,NZ,N/A,Ghost Airport
Flat Point Aerodrome,NZ,N/A,Ghost Airport
Phoenix Airfield,AQ,N/A,Ghost Airport
Galatea Airfield,NZ,N/A,Ghost Airport
Great Barrier Aerodrome,NZ,GBZ,Ghost Airport
Gore3 Airport,NZ,N/A,Ghost Airport
Glacier Country Heliport,NZ,N/A,Ghost Airport
Garden City Heliport,NZ,N/A,Ghost Airport
Greymouth Airport,NZ,GMN,Ghost Airport
Great Mercury Airport,NZ,N/A,Ghost Airport
Glentanner Airport,NZ,GTN,Ghost Airport
Glenorchy Airport,NZ,N/A,Ghost Airport
Hawera Airport,NZ,N/A,Ghost Airport
Wanaka Lakes Health Centre Heliport,NZ,N/A,Ghost Airport
Hanmer Springs Airport,NZ,N/A,Ghost Airport
Hastings Aerodrome,NZ,N/A,Ghost Airport
Haast Aerodrome,NZ,N/A,Ghost Airport
Tauranga Hospital Heliport,NZ,N/A,Ghost Airport
Wairau Hospital Heliport,NZ,N/A,Ghost Airport
Christchurch Hospital Heliport,NZ,N/A,Ghost Airport
Thames Hospital Heliport,NZ,N/A,Ghost Airport
Dargaville Hospital Heliport,NZ,N/A,Ghost Airport
Gisborne Hospital Heliport,NZ,N/A,Ghost Airport
Hastings Hospital Heliport,NZ,N/A,Ghost Airport
Bay of Islands Hospital Heliport,NZ,N/A,Ghost Airport
Kaitaia Hospital Heliport,NZ,N/A,Ghost Airport
Aukland Hospital Helipad,NZ,N/A,Ghost Airport
Palmerston North Hospital Heliport,NZ,N/A,Ghost Airport
North Shore Hospital Heliport,NZ,N/A,Ghost Airport
Rotorua Hospital Heliport,NZ,N/A,Ghost Airport
Te Puia Springs Hospital Heliport,NZ,N/A,Ghost Airport
Taranaki Base Hospital Heliport,NZ,N/A,Ghost Airport
Whangarei Hospital Helipad,NZ,N/A,Ghost Airport
Southland - Kew Hospital Heliport,NZ,N/A,Ghost Airport
Taumarunui Hospital Heliport,NZ,N/A,Ghost Airport
Wanganui Hospital Heliport,NZ,N/A,Ghost Airport
Waitakere Hospital Heliport,NZ,N/A,Ghost Airport
Rawene Hospital Heliport,NZ,N/A,Ghost Airport
Tokoroa Hospital Heliport,NZ,N/A,Ghost Airport
Wairoa Hospital Heliport,NZ,N/A,Ghost Airport
Taupo Hospital Heliport,NZ,N/A,Ghost Airport
Kelly Field,NZ,N/A,Ghost Airport
Motu Kaikoura Island Aerodrome,NZ,N/A,Ghost Airport
Waiheke Reeve Airport,NZ,WIK,Ghost Airport
Kaipara Flats Airport,NZ,N/A,Ghost Airport
Kenepuru Hospital Heliport,NZ,N/A,Ghost Airport
Kaikoura Airport,NZ,KBZ,Ghost Airport
Karamea Airport,NZ,N/A,Ghost Airport
Kensington Park Heliport,NZ,N/A,Ghost Airport
Kaikohe Airport,NZ,KKO,Ghost Airport
Kupe Helipad,NZ,N/A,Ghost Airport
Kowhai Aerodrome,NZ,N/A,Ghost Airport
Limestone Downs Airport,NZ,N/A,Ghost Airport
Lake Station Airport,NZ,N/A,Ghost Airport
Rotorua Lakefront Heliport,NZ,N/A,Ghost Airport
Lake Taupo Water Airport,NZ,N/A,Ghost Airport
Alexandra Aerodrome,NZ,ALR,Ghost Airport
Matamata Glider Airport,NZ,MTA,Ghost Airport
Mechanics Bay Heliport,NZ,MHB,Ghost Airport
Mount Cook Airport,NZ,MON,Ghost Airport
Mercer1 PDZ Airport,NZ,N/A,Ghost Airport
Milford Sound Airport,NZ,MFN,Ghost Airport
Mangonui Heliport,NZ,N/A,Ghost Airport
Wairarapa Hospital Heliport,NZ,N/A,Ghost Airport
Martins Bay Aerodrome,NZ,N/A,Ghost Airport
Motueka Airport,NZ,MZP,Ghost Airport
Molesworth Airport,NZ,N/A,Ghost Airport
Manapouri Airport,NZ,TEU,Ghost Airport
Oaonui Heliport,NZ,N/A,Ghost Airport
Murchison Airport,NZ,N/A,Ghost Airport
Hood Airport,NZ,MRO,Ghost Airport
Martinborough Airport,NZ,N/A,Ghost Airport
Makarora Airstrip,NZ,N/A,Ghost Airport
Maari Heliport,NZ,N/A,Ghost Airport
Matakana Island Airport,NZ,N/A,Ghost Airport
North Shore Aerodrome,NZ,N/A,Ghost Airport
Norfolk Airport,NZ,N/A,Ghost Airport
Nelson Hospital Heliport,NZ,N/A,Ghost Airport
Omarama Glider Airport,NZ,N/A,Ghost Airport
Ocean Beach Heliport,NZ,N/A,Ghost Airport
Omaha Flats Airport,NZ,N/A,Ghost Airport
Makarora Heliport,NZ,N/A,Ghost Airport
RNZAF Base Ohakea,NZ,OHA,Ghost Airport
Motiti Island Airport,NZ,N/A,Ghost Airport
Omaka Blenheim Airport,NZ,N/A,Ghost Airport
Opotiki Airport,NZ,N/A,Ghost Airport
Oamaru Hospital Heliport,NZ,N/A,Ghost Airport
Oamaru Airport,NZ,OAM,Ghost Airport
Okiwi Station Airport,NZ,N/A,Ghost Airport
Paihia Private Airport,NZ,N/A,Ghost Airport
Pudding Hill Aerodrome,NZ,N/A,Ghost Airport
Parakai Aerodrome,NZ,N/A,Ghost Airport
Pōrangahau Aerodrome,NZ,N/A,Ghost Airport
Paraparaumu Airport,NZ,PPQ,Ghost Airport
Papawai Airfield,NZ,N/A,Ghost Airport
Queens Wharf Heliport,NZ,N/A,Ghost Airport
Raglan Aerodrome,NZ,RAG,Ghost Airport
Ryan's Creek Aerodrome,NZ,SZS,Ghost Airport
Rangitata Island Airport,NZ,N/A,Ghost Airport
Rangitaiki Airfield,NZ,N/A,Ghost Airport
Rotorua Lakes Water Aerodrome,NZ,N/A,Ghost Airport
Ruatoria Airfield,NZ,N/A,Ghost Airport
Rangiora Airfield,NZ,N/A,Ghost Airport
Waiouru Airport,NZ,N/A,Ghost Airport
Ruawai Aerodrome,NZ,N/A,Ghost Airport
Roxburgh Aerodrome,NZ,N/A,Ghost Airport
Stratford Airport,NZ,N/A,Ghost Airport
Springhill Airport,NZ,N/A,Ghost Airport
Marlborough Sounds Water Aerodrome,NZ,N/A,Ghost Airport
Amundsen–Scott south Pole Station Airport,AQ,N/A,Ghost Airport
Te Aroha Airfield,NZ,N/A,Ghost Airport
Te Kowhai Airfield,NZ,N/A,Ghost Airport
Thames Aerodrome,NZ,TMZ,Ghost Airport
Taieri Airport,NZ,N/A,Ghost Airport
Takaka Airport,NZ,KTF,Ghost Airport
Tekapo Aerodrome,NZ,N/A,Ghost Airport
Taumarunui Airport,NZ,N/A,Ghost Airport
Turangi Airport,NZ,N/A,Ghost Airport
Tokoroa Airfield,NZ,TKZ,Ghost Airport
Te Kuiti Hospital Heliport,NZ,N/A,Ghost Airport
Taharoa Aerodrome,NZ,THH,Ghost Airport
Te Kuiti Aerodrome,NZ,N/A,Ghost Airport
Maui A Heliport,NZ,N/A,Ghost Airport
Maui B Heliport,NZ,N/A,Ghost Airport
Tui Helipad,NZ,N/A,Ghost Airport
Pukaki Airport,NZ,TWZ,Ghost Airport
Pauanui Aerodrome,NZ,N/A,Ghost Airport
Murchison Hospital Heliport,NZ,N/A,Ghost Airport
Mandeville Aerodrome,NZ,N/A,Ghost Airport
Taihape Airport,NZ,N/A,Ghost Airport
Williams Field Skiway,AQ,N/A,Ghost Airport
Kauaroa Bay Heliport,NZ,N/A,Ghost Airport
Wellington Hospital Heliport,NZ,N/A,Ghost Airport
Wellsford Airport,NZ,N/A,Ghost Airport
West Melton Aerodrome,NZ,N/A,Ghost Airport
Waimate Airport,NZ,N/A,Ghost Airport
Wairoa Airport,NZ,WIR,Ghost Airport
RNZAF Base Auckland-Whenuapai,NZ,N/A,Ghost Airport
Waitiki Aerodrome,NZ,N/A,Ghost Airport
Whitianga Airport,NZ,WTZ,Ghost Airport
Waihi Beach Airport,NZ,N/A,Ghost Airport
Waipukurau Airport,NZ,N/A,Ghost Airport
Heussler Hamburg Heliport,US,N/A,Ghost Airport
Morgantown Airport,US,N/A,Ghost Airport
Lake Oroville Landing Area Seaplane Base,US,N/A,Ghost Airport
